,,,,,,,,,水質,,,,,,,,,,,,地質,,,,,底質汙染物,,,,,,,,藻礁生態系,,,,,,,,,,,,,,,
2019,7,2,SM,KS,2,KS2-M,M,16:40,30.5 ,33.8 ,8.26 ,7.73 ,102.3 ,2.20 ,0.00095,0.05,0.04,0.088,,,0.8666666667,,,,,,,,,,,,,23.3,20,,,,,,,,,,,,,,
2019,7,2,SM,KS,2,KS2-L,L,16:24,31.1 ,33.4 ,8.28 ,7.65 ,101.3 ,6.50 ,0.00095,0.03,0.06,0.082,,,1.1,,,,,,,,,,,,,46.7,8.3,,,,,,,,,,,,,,
2019,7,2,SM,KS,3,KS3-H,H,15:59,32.0 ,33.1 ,8.23 ,7.76 ,104.4 ,6.90 ,0.00095,0.02,0.07,0.071,,,2.466666667,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,
2019,7,2,SM,KS,3,KS3-M,M,15:51,32.4 ,33.1 ,8.22 ,8.20 ,109.1 ,3.10 ,<0.01,0.03,0.06,0.059,,,0.9166666667,,,,,,,,,,,,,3.3,2.3,,,,,,,,,,,,,,
2019,7,2,SM,KS,3,KS3-L,L,15:48,31.6 ,32.8 ,8.11 ,8.20 ,105.2 ,8.20 ,0.00095,0.02,0.04,0.084,,,0.35,,,,,,,,,,,,,30,5.3,,,,,,,,,,,,,,
2019,7,3,SM,KS,1,KS1滿,滿,12:01,29.6 ,32.5 ,8.15 ,7.82 ,102.6 ,46.80 ,0.02,0.02,0.08,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,7,3,SM,KS,2,KS2滿,滿,11:50,29.6 ,33.2 ,8.80 ,7.69 ,100.5 ,44.00 ,0.00095,0.01,0.05,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,7,3,SM,KS,3,KS3滿,滿,11:38,29.6 ,33.0 ,8.16 ,7.68 ,100.6 ,30.00 ,0.00095,0.02,0.05,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,7,3,SM,G1,,G1滿,滿,11:54,30.5 ,33.6 ,8.19 ,7.62 ,101.5 ,44.00 ,0.02,0.011,0.06,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,7,3,SM,G2,,G2滿,滿,12:16,30.1 ,33.9 ,8.25 ,7.53 ,99.7 ,20.80 ,0.00095,0.03,0.05,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,8,27,SM,BY,1,BY1-H,H,13:03,35.7 ,31.9 ,8.49 ,13.96 ,198.8 ,1.00 ,0.00095,0.01,0.06,0.091,,2.803 ,2.316666667,4.667,3.333,17.000,11.167,,,,,,,,,21,1,77.33,0.00,0.00,3400,900,0,0,0,0,0,0,0,0,
2019,8,27,SM,BY,1,BY1-M,M,13:19,35.3 ,34.4 ,8.30 ,10.71 ,154.5 ,0.50 ,0.02,0.011,0.12,0.084,,3.101 ,3.283333333,6.000,2.333,16.667,9.500,,,,,,,,,33,4,36.00,0.00,0.00,6600,300,100,800,400,0,0,300,0,0,
2019,8,27,SM,BY,1,BY1-L,L,13:29,33.2 ,33.6 ,8.15 ,7.45 ,103.8 ,54.30 ,0.00095,0.08,0.06,0.112,,4.826 ,4.25,4.667,0.500,19.833,3.500,0.049,0.19,21.9,18.4,20.3,14.3,92.6,8.80,31,1,5.33,1.33,0.00,26500,1100,0,1100,0,0,0,600,10200,0,32
2019,8,27,SM,BY,2,BY2-H,H,13:58,36.3 ,33.7 ,8.31 ,11.18 ,164.6 ,4.50 ,0.00095,0.04,0.08,0.054,,2.018 ,2.4,4.167,2.000,18.833,5.833,,,,,,,,,43,4,54.67,0.00,0.00,6300,1400,0,1900,0,0,0,500,4400,0,
2019,8,27,SM,BY,2,BY2-M,M,14:09,36.0 ,32.1 ,8.30 ,9.88 ,143.6 ,3.20 ,0.00095,0.03,0.08,0.118,,0.857 ,1.65,2.667,4.000,18.333,4.667,,,,,,,,,20,0,58.67,0.00,0.00,9900,800,100,900,0,0,0,0,4200,0,
2019,8,27,SM,BY,2,BY2-L,L,14:17,34.6 ,31.9 ,8.36 ,8.37 ,119.1 ,17.20 ,0.02,0.04,0.09,0.055,,8.557 ,2.1,5.167,3.000,16.833,6.167,0.049,0.19,20.2,18.1,21.1,13.4,91.0,8.14,55,4,45.33,1.33,0.00,1500,100,0,0,0,0,0,0,600,0,42
2019,8,27,SM,BY,3,BY3-H,H,14:51,35.0 ,31.3 ,8.20 ,11.10 ,159.2 ,4.60 ,0.02,0.14,0.09,0.069,,1.679 ,2.65,5.167,1.333,18.500,7.000,,,,,,,,,6,4,17.33,6.67,0.00,10300,1900,0,600,0,100,0,0,4400,0,
2019,8,27,SM,BY,3,BY3-M,M,14:43,33.4 ,33.0 ,8.15 ,9.02 ,126.6 ,6.30 ,0.00095,0.08,0.10,0.052,,0.750 ,1.883333333,3.667,1.833,19.500,13.333,,,,,,,,,30,8,12.00,13.33,0.00,8800,900,0,100,0,0,0,0,2500,0,
2019,8,27,SM,BY,3,BY3-L,L,14:32,32.7 ,33.4 ,8.19 ,9.85 ,135.9 ,3.20 ,0.00095,0.07,0.08,0.034,,4.875 ,2.2,0.333,0.667,24.000,6.167,0.049,0.19,24.2,22.1,21.4,14.3,98.5,8.36,37,1,5.33,49.33,0.00,5700,500,100,0,0,0,0,0,10100,0,7
2019,8,28,SM,G1,1,G1-1-H,H,14:19,35.4 ,34.0 ,8.13 ,7.96 ,115.1 ,8.90 ,0.00095,0.011,0.04,0.065,,1.546 ,2.85,1.333,0.000,23.667,8.167,,,,,,,,,45,0,10.67,4.00,0.00,3500,600,0,600,300,0,0,200,0,0,
2019,8,28,SM,G1,1,G1-1-M,M,14:25,34.2 ,34.0 ,8.17 ,8.84 ,124.6 ,9.50 ,0.00095,0.02,0.04,0.067,,1.372 ,1.65,1.500,0.000,23.500,5.167,,,,,,,,,22,0,13.33,22.67,0.00,1900,300,0,0,0,0,0,500,0,0,
2019,8,28,SM,G1,1,G1-1-L,L,14:34,33.2 ,34.0 ,8.26 ,8.58 ,119.5 ,31.40 ,0.00095,0.011,0.03,0.046,,3.833 ,3.616666667,6.333,0.000,18.667,8.833,0.049,0.19,20.4,18.3,20.5,12.7,91.0,8.38,67,4,5.33,17.33,0.00,14300,200,0,0,0,0,0,0,500,0,29
2019,8,,SM,G1,2,G1-2-H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,13.33,1.33,0.00,6000,300,0,100,0,0,0,0,200,0,
2019,8,,SM,G1,2,G1-2-M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,0.00,17.33,0.00,1900,400,0,600,0,0,0,0,400,0,
2019,8,,SM,G1,2,G1-2-L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,2.67,37.33,0.00,8500,800,0,900,0,0,0,0,3300,0,30
2019,8,28,SM,G1,3,G1-3-H,H,15:10,35.8 ,33.9 ,8.29 ,10.57 ,153.1 ,3.20 ,0.00095,0.011,0.05,0.021,,0.777 ,3.083333333,1.500,0.000,23.500,8.833,,,,,,,,,5,20,14.67,4.00,0.00,9600,400,0,200,0,0,0,0,1000,0,
2019,8,28,SM,G1,3,G1-3-M,M,15:00,35.3 ,34.0 ,8.25 ,9.80 ,141.6 ,2.80 ,0.00095,0.011,0.05,0.028,,0.789 ,2.866666667,4.667,0.000,20.333,8.833,,,,,,,,,21,5,2.67,1.33,0.00,7800,400,0,0,0,0,0,200,6100,0,
2019,8,28,SM,G1,3,G1-3-L,L,14:50,32.7 ,34.0 ,8.24 ,8.13 ,112.6 ,77.80 ,0.00095,0.02,0.04,0.092,,6.110 ,1.133333333,1.167,0.000,23.833,11.333,0.049,0.19,23.5,20.2,23.7,14.6,99.7,8.51,53,4,8.00,34.67,0.00,1800,0,0,200,0,0,0,0,5500,0,0
2019,8,28,SM,G2,1,G2-1-H,H,14:55,36.0 ,33.1 ,8.22 ,10.92 ,140.8 ,10.70 ,0.00095,0.011,0.03,0.041,,3.276 ,1.85,10.000,0.000,15.000,3.000,,,,,,,,,0,10,0.00,1.33,0.00,4300,100,0,1500,0,0,0,200,2700,0,
2019,8,28,SM,G2,1,G2-1-M,M,14:46,34.5 ,33.0 ,8.19 ,11.36 ,132.0 ,6.30 ,0.00095,0.011,0.02,0.014,,3.369 ,2.416666667,7.667,0.000,17.333,13.667,,,,,,,,,1,1,1.33,1.33,0.00,10700,4400,0,400,0,0,0,0,3100,0,
2019,8,28,SM,G2,1,G2-1-L,L,14:39,35.7 ,31.3 ,8.12 ,9.42 ,105.9 ,11.50 ,0.00095,0.011,0.03,0.028,,2.423 ,4.75,11.333,0.000,13.667,12.333,0.049,0.19,20.0,38.7,24.4,14.7,109.0,15.70,37,8,0.00,58.67,0.00,8700,0,0,2100,0,0,0,0,7600,0,27
2019,8,,SM,G2,2,G2-2-H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.00,1.33,0.00,3300,800,0,1400,0,0,0,0,9700,0,
2019,8,,SM,G2,2,G2-2-M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.00,0.00,0.00,6700,1700,0,1200,400,0,0,200,7400,0,
2019,8,,SM,G2,2,G2-2-L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,25,24,1.33,0.00,0.00,8300,2400,0,600,0,0,0,0,3300,0,0
2019,8,28,SM,G2,3,G2-3-H,H,15:28,36.7 ,33.5 ,8.53 ,9.74 ,160.2 ,7.00 ,0.00095,0.05,0.04,0.054,,1.615 ,1.783333333,4.333,0.000,20.667,3.333,,,,,,,,,2,12,5.33,0.00,0.00,3600,200,0,1900,0,0,0,0,5800,0,
2019,8,28,SM,G2,3,G2-3-M,M,15:15,35.9 ,33.5 ,8.39 ,9.23 ,165.0 ,5.10 ,0.00095,0.06,0.04,0.062,,0.945 ,0.7833333333,8.667,0.000,16.333,14.667,,,,,,,,,4,12,0.00,1.33,0.00,6500,2600,0,3400,0,0,0,100,10700,0,
2019,8,28,SM,G2,3,G2-3-L,L,15:05,34.3 ,33.1 ,8.28 ,7.29 ,133.7 ,7.60 ,0.00095,0.02,0.04,0.042,,0.693 ,1.533333333,3.667,0.000,21.333,8.333,0.049,0.19,22.6,24.0,24.0,13.3,109.0,8.99,32,8,0.00,0.00,0.00,5500,500,100,500,0,0,0,0,2600,0,0
2019,8,27,SM,KS,1,KS1-H,H,13:34,34.1 ,32.4 ,8.22 ,10.73 ,150.7 ,12.50 ,0.00095,0.11,0.09,0.076,,2.914 ,1.616666667,6.000,1.000,18.000,7.000,,,,,,,,,1,13.3,0.00,4.00,0.00,10600,0,0,2700,400,0,0,200,10800,0,
2019,8,27,SM,KS,1,KS1-M,M,13:28,32.4 ,32.3 ,8.10 ,10.78 ,147.6 ,23.80 ,0.02,0.13,0.07,0.114,,1.189 ,3.466666667,4.333,3.333,17.333,11.667,,,,,,,,,3.3,4,8.00,41.33,0.00,11300,2800,0,1900,300,0,0,0,6400,0,
2019,8,27,SM,KS,1,KS1-L,L,13:23,31.7 ,32.2 ,8.16 ,9.35 ,125.3 ,13.50 ,0.02,0.08,0.08,0.094,,3.122 ,0.9166666667,4.333,0.333,20.333,6.667,0.049,0.19,28.4,18.8,24.0,14.9,112.0,10.60,37.3,9.3,5.33,2.67,0.00,13600,3300,0,1100,300,0,0,0,6000,0,52
2019,8,27,SM,KS,2,KS2-H,H,14:20,36.5 ,32.3 ,8.39 ,10.41 ,152.3 ,0.80 ,0.00095,0.02,0.09,0.043,,5.686 ,2.183333333,9.000,5.333,10.667,12.333,,,,,,,,,4.3,4.3,317.33,126.67,0.00,6000,1200,100,1000,200,0,0,200,1100,0,
2019,8,27,SM,KS,2,KS2-M,M,14:12,36.4 ,33.1 ,8.61 ,11.34 ,165.4 ,2.60 ,0.00095,0.04,0.09,0.084,,2.821 ,1.8,5.000,7.000,13.000,9.333,,,,,,,,,11,2,74.67,10.67,0.00,7300,600,0,900,200,0,0,0,2300,0,
2019,8,27,SM,KS,2,KS2-L,L,14:05,33.2 ,32.0 ,8.10 ,7.39 ,102.6 ,18.10 ,<0.01,0.04,0.09,0.111,,4.624 ,0.45,0.000,4.667,20.333,0.333,0.049,0.19,26.8,18.6,24.6,16.3,117.0,12.50,22,5,37.33,2.67,0.00,9400,2700,0,100,700,0,0,300,1400,0,113
2019,8,27,SM,KS,3,KS3-H,H,15:19,33.3 ,33.1 ,8.12 ,7.14 ,99.4 ,3.40 ,0.00095,0.09,0.11,0.101,,4.223 ,1.6,6.000,3.000,16.000,5.333,,,,,,,,,0.7,16.3,1.33,1.33,0.00,3700,11300,0,300,0,0,0,0,1700,0,
2019,8,27,SM,KS,3,KS3-M,M,15:02,33.9 ,33.0 ,8.20 ,8.50 ,120.0 ,4.70 ,0.02,0.08,0.14,0.126,,13.419 ,2.883333333,7.000,5.333,12.667,6.333,,,,,,,,,6,2,6.67,13.33,0.00,5800,1200,0,500,0,0,0,100,2800,0,
2019,8,27,SM,KS,3,KS3-L,L,14:41,33.0 ,32.7 ,8.13 ,7.65 ,106.4 ,4.40 ,0.02,0.04,0.07,0.106,,0.698 ,5.15,7.667,1.000,16.333,10.000,0.049,0.19,22.6,14.6,22.9,14.5,97.9,10.90,17.7,3.3,4.00,1.33,0.00,6500,1300,0,2200,0,0,0,500,5700,0,86
2019,8,28,SM,KS,1,KS1滿,滿,9:07,29.5 ,32.1 ,7.99 ,8.08 ,105.4 ,3.60 ,0.02,0.03,0.04,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,8,28,SM,KS,2,KS2滿,滿,9:25,29.3 ,32.3 ,7.97 ,7.41 ,96.8 ,8.80 ,0.00095,0.03,0.05,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,8,28,SM,KS,3,KS3滿,滿,9:38,29.9 ,32.4 ,8.05 ,7.57 ,99.5 ,10.90 ,0.00095,0.011,0.04,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,8,28,SM,G1,,G1滿,滿,9:15,30.4 ,33.9 ,8.06 ,7.41 ,98.7 ,16.30 ,0.00095,0.02,0.03,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,8,28,SM,G2,,G2滿,滿,9:47,30.5 ,33.9 ,8.10 ,7.40 ,98.5 ,15.10 ,0.00095,0.03,0.05,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10,29,A,BY,1,BY1-H,H,17:03,21.5 ,30.6 ,8.04 ,8.71 ,98.2 ,6.60 ,0.07,0.84,0.26,0.128,,,2.133333333,,,,,,,,,,,,,15,4,,,,,,,,,,,,,,
2019,10,29,A,BY,1,BY1-M,M,17:08,21.3 ,30.9 ,8.07 ,8.87 ,100.2 ,3.20 ,0.07,0.88,0.46,0.094,,,2.6,,,,,,,,,,,,,40,4,,,,,,,,,,,,,,
2019,10,29,A,BY,1,BY1-L,L,17:15,22.8 ,31.1 ,8.01 ,8.54 ,99.5 ,94.00 ,0.06,0.86,0.17,0.180,,,0.55,,,,,,,,,,,,,50,8,,,,,,,,,,,,,,
2019,10,29,A,BY,2,BY2-H,H,16:48,21.8 ,30.5 ,8.04 ,8.85 ,100.7 ,19.10 ,0.07,0.81,0.31,0.075,,,1.616666667,,,,,,,,,,,,,11,24,,,,,,,,,,,,,,
2019,10,29,A,BY,2,BY2-M,M,16:40,22.0 ,30.9 ,8.04 ,8.82 ,100.8 ,41.80 ,0.07,0.83,0.24,0.128,,,1.25,,,,,,,,,,,,,50,10,,,,,,,,,,,,,,
2019,10,29,A,BY,2,BY2-L,L,16:33,22.1 ,30.9 ,8.03 ,8.85 ,101.5 ,41.80 ,0.08,0.81,0.21,0.118,,,2.55,,,,,,,,,,,,,55,2,,,,,,,,,,,,,,
2019,10,29,A,BY,3,BY3-H,H,16:01,22.3 ,30.7 ,8.02 ,8.75 ,100.7 ,27.90 ,0.07,0.80,0.22,0.123,,,3.066666667,,,,,,,,,,,,,20,2,,,,,,,,,,,,,,
2019,10,29,A,BY,3,BY3-M,M,16:12,22.4 ,31.0 ,8.00 ,8.70 ,100.3 ,38.60 ,0.07,0.80,0.25,0.104,,,1.283333333,,,,,,,,,,,,,33,4,,,,,,,,,,,,,,
2019,10,29,A,BY,3,BY3-L,L,16:20,22.3 ,30.9 ,8.02 ,8.65 ,99.3 ,69.70 ,0.07,0.82,0.24,0.175,,,0.9666666667,,,,,,,,,,,,,65,8,,,,,,,,,,,,,,
2019,10,28,A,G1,1,G1-1-H,H,16:55,24.5 ,32.6 ,8.13 ,8.84 ,106.1 ,20.50 ,0.03,0.32,0.05,0.038,,,4.133333333,,,,,,,,,,,,,35,8,,,,,,,,,,,,,,
2019,10,28,A,G1,1,G1-1-M,M,16:47,24.3 ,32.7 ,8.18 ,9.60 ,115.1 ,19.40 ,0.03,0.33,0.08,0.043,,,2.283333333,,,,,,,,,,,,,40,30,,,,,,,,,,,,,,
2019,10,28,A,G1,1,G1-1-L,L,16:42,24.4 ,32.8 ,8.18 ,10.09 ,121.2 ,15.40 ,0.03,0.34,0.05,0.039,,,1.433333333,,,,,,,,,,,,,70,1,,,,,,,,,,,,,,
,,,,G1,2,G1-2-H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,
,,,,G1,2,G1-2-M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,56,5,,,,,,,,,,,,,,
,,,,G1,2,G1-2-L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,
2019,10,28,A,G1,3,G1-3-H,H,15:40,25.1 ,32.2 ,8.18 ,10.42 ,126.6 ,19.40 ,0.04,0.32,0.05,0.053,,,4.566666667,,,,,,,,,,,,,20,4,,,,,,,,,,,,,,
2019,10,28,A,G1,3,G1-3-M,M,15:53,25.2 ,32.6 ,8.19 ,10.45 ,127.9 ,19.30 ,0.03,0.32,0.06,0.059,,,2.066666667,,,,,,,,,,,,,60,8,,,,,,,,,,,,,,
2019,10,28,A,G1,3,G1-3-L,L,16:02,24.9 ,32.6 ,8.17 ,9.53 ,115.2 ,27.50 ,0.03,0.32,0.05,0.044,,,1.116666667,,,,,,,,,,,,,82,0,,,,,,,,,,,,,,
2019,10,28,A,G2,1,G2-1-H,H,15:48,24.9 ,32.8 ,8.10 ,9.65 ,116.3 ,25.30 ,0.03,0.39,0.04,0.042,,,4.783333333,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,
2019,10,28,A,G2,1,G2-1-M,M,15:51,24.8 ,32.5 ,8.15 ,9.09 ,109.4 ,23.50 ,0.04,0.38,0.08,0.038,,,3.016666667,,,,,,,,,,,,,28,10,,,,,,,,,,,,,,
2019,10,28,A,G2,1,G2-1-L,L,15:42,24.9 ,32.8 ,8.19 ,10.55 ,127.4 ,64.30 ,0.03,0.36,0.05,0.039,,,2,,,,,,,,,,,,,55,4,,,,,,,,,,,,,,
,,,,G2,2,G2-2-H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,
,,,,G2,2,G2-2-M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,,,,,,,,,,,,,,
,,,,G2,2,G2-2-L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,69,10,,,,,,,,,,,,,,
2019,10,28,A,G2,3,G2-3-H,H,16:43,24.2 ,32.8 ,8.52 ,10.34 ,122.8 ,13.50 ,0.02,0.39,0.04,0.031,,,4.1,,,,,,,,,,,,,10,4,,,,,,,,,,,,,,
2019,10,28,A,G2,3,G2-3-M,M,16:36,24.2 ,32.8 ,8.55 ,11.42 ,136.1 ,3.90 ,0.02,0.40,0.05,0.027,,,1.383333333,,,,,,,,,,,,,37,10,,,,,,,,,,,,,,
2019,10,28,A,G2,3,G2-3-L,L,16:18,24.7 ,32.9 ,8.06 ,9.14 ,109.9 ,26.00 ,0.03,0.36,0.05,0.063,,,1.083333333,,,,,,,,,,,,,49,2,,,,,,,,,,,,,,
2019,10,29,A,KS,1,KS1-H,H,15:56,21.5 ,32.8 ,8.20 ,8.74 ,99.1 ,3.40 ,0.01,0.18,0.01,0.104,,,2.283333333,,,,,,,,,,,,,12.3,6,,,,,,,,,,,,,,
2019,10,29,A,KS,1,KS1-M,M,16:08,23.2 ,32.4 ,8.16 ,8.48 ,99.0 ,9.80 ,0.02,0.14,0.15,0.085,,,2,,,,,,,,,,,,,28,0.3,,,,,,,,,,,,,,
2019,10,29,A,KS,1,KS1-L,L,16:14,23.2 ,32.5 ,8.18 ,8.58 ,100.2 ,22.50 ,0.02,0.14,0.06,0.147,,,5.616666667,,,,,,,,,,,,,61.7,2,,,,,,,,,,,,,,
2019,10,29,A,KS,2,KS2-H,H,17:01,20.9 ,31.7 ,8.18 ,8.63 ,96.6 ,1.20 ,0.02,0.37,0.04,0.123,,,3.1,,,,,,,,,,,,,10.3,2.7,,,,,,,,,,,,,,
2019,10,29,A,KS,2,KS2-M,M,16:56,21.1 ,30.8 ,8.20 ,8.75 ,98.2 ,5.00 ,0.04,0.49,0.06,0.118,,,1.183333333,,,,,,,,,,,,,30,3.3,,,,,,,,,,,,,,
2019,10,29,A,KS,2,KS2-L,L,16:49,22.6 ,29.2 ,8.11 ,8.37 ,96.8 ,10.50 ,0.06,0.51,0.16,0.109,,,2.583333333,,,,,,,,,,,,,56,2.7,,,,,,,,,,,,,,
2019,10,29,A,KS,3,KS3-H,H,17:18,22.1 ,32.7 ,8.13 ,8.26 ,94.6 ,12.10 ,0.02,0.23,0.10,0.099,,,1.116666667,,,,,,,,,,,,,14,2.3,,,,,,,,,,,,,,
2019,10,29,A,KS,3,KS3-M,M,17:24,22.0 ,32.6 ,8.14 ,8.45 ,96.6 ,10.60 ,0.02,0.21,0.07,0.094,,,0.8166666667,,,,,,,,,,,,,17.3,4.7,,,,,,,,,,,,,,
2019,10,29,A,KS,3,KS3-L,L,17:28,22.1 ,32.6 ,8.13 ,8.26 ,94.6 ,8.90 ,0.01,0.22,0.06,0.104,,,4.466666667,,,,,,,,,,,,,28.7,1,,,,,,,,,,,,,,
2019,10,28,A,KS,1,KS1滿,滿,12:21,23.5 ,32.5 ,8.16 ,8.58 ,100.8 ,23.10 ,0.02,0.13,0.06,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10,28,A,KS,2,KS2滿,滿,12:39,23.8 ,32.6 ,8.16 ,8.62 ,101.5 ,51.20 ,0.03,0.18,0.06,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10,28,A,KS,3,KS3滿,滿,12:51,23.6 ,32.5 ,8.14 ,8.70 ,102.1 ,89.00 ,0.03,0.25,0.06,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10,28,A,G1,,G1滿,滿,12:24,22.8 ,32.6 ,8.03 ,8.93 ,103.9 ,72.70 ,0.05,0.63,0.14,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10,28,A,G2,,G2滿,滿,12:54,23.3 ,32.2 ,8.04 ,8.82 ,103.3 ,63.90 ,0.04,0.48,0.12,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,12,19,W,BY,1,BY1-H,H,9:30,19.3 ,30.7 ,8.00 ,9.55 ,103.2 ,49.80 ,0.06,0.79,0.52,0.034,,9.933 ,1.666666667,4.667,3.000,17.333,2.833,,,,,,,,,6,3,25.33,0.00,0.00,4500,700,0,0,0,0,0,200,0,0,
2019,12,19,W,BY,1,BY1-M,M,9:21,19.5 ,30.8 ,7.94 ,8.88 ,96.3 ,54.80 ,0.06,0.87,0.43,0.066,,10.518 ,2.516666667,4.000,3.667,17.333,4.833,,,,,,,,,10,6,20.00,0.00,0.00,7500,100,0,0,0,0,0,0,2200,0,
2019,12,19,W,BY,1,BY1-L,L,9:05,19.7 ,30.9 ,7.93 ,9.29 ,99.0 ,25.10 ,0.05,0.78,0.31,0.056,,19.434 ,4.75,3.333,0.667,21.000,2.167,0.072,0.19,17.6,17.6,19.6,11.8,77.9,8.53,16,4,8.00,0.00,0.00,20200,1500,0,1400,200,0,0,0,1300,0,34
2019,12,19,W,BY,2,BY2-H,H,8:53,19.3 ,26.1 ,7.99 ,9.20 ,99.4 ,46.50 ,0.11,0.96,0.42,0.040,,7.817 ,1.666666667,0.167,0.500,24.333,5.000,,,,,,,,,12,0,105.33,0.00,0.00,6600,200,0,200,200,0,0,0,500,0,
2019,12,19,W,BY,2,BY2-M,M,8:40,19.5 ,30.7 ,7.95 ,9.15 ,99.4 ,158.00 ,0.06,0.80,0.53,0.072,,8.720 ,2.616666667,3.500,2.167,19.333,2.500,,,,,,,,,12,10,9.33,0.00,0.00,8000,500,200,100,0,0,0,0,17900,0,
2019,12,19,W,BY,2,BY2-L,L,8:44,19.5 ,30.7 ,7.96 ,9.33 ,101.2 ,143.00 ,0.07,0.81,0.59,0.067,,17.899 ,1.666666667,7.333,4.000,13.667,2.000,0.053,0.19,16.7,18.5,20.1,11.7,84.3,9.05,40,8,16.00,2.67,0.00,6100,600,0,0,0,0,0,0,5600,0,5
2019,12,19,W,BY,3,BY3-H,H,8:14,19.4 ,29.2 ,7.90 ,8.86 ,96.1 ,65.10 ,0.09,0.94,0.61,0.052,,3.426 ,2.25,2.000,4.000,19.000,3.833,,,,,,,,,60,2,17.33,1.33,0.00,3500,0,0,100,0,0,0,100,100,0,
2019,12,19,W,BY,3,BY3-M,M,8:22,19.6 ,30.8 ,7.90 ,8.86 ,96.3 ,118.00 ,0.05,0.78,0.56,0.071,,8.526 ,1.266666667,0.500,0.000,24.500,5.667,,,,,,,,,12,0,9.33,10.67,0.00,3000,200,0,100,0,0,0,0,3700,0,
2019,12,19,W,BY,3,BY3-L,L,8:28,19.6 ,30.7 ,7.93 ,8.97 ,97.6 ,203.00 ,0.06,0.80,0.53,0.064,,17.273 ,1.483333333,0.000,0.500,24.500,3.500,0.052,0.19,20.8,20.9,22.5,15.0,98.6,11.60,32,0,10.67,1.33,0.00,12600,1900,0,2100,200,0,0,0,7100,0,23
2019,12,18,W,G1,1,G1-1-H,H,8:12,20.6 ,32.0 ,7.88 ,8.53 ,94.6 ,51.20 ,0.01,0.16,0.06,0.054,,2.542 ,3.016666667,2.833,0.167,22.000,6.000,,,,,,,,,15,0,9.33,50.67,0.00,700,0,0,100,0,0,0,100,0,0,
2019,12,18,W,G1,1,G1-1-M,M,8:05,20.5 ,32.5 ,7.92 ,9.52 ,105.5 ,5.20 ,0.02,0.15,0.08,0.05,,0.587 ,1.316666667,0.000,0.333,24.667,7.167,,,,,,,,,20,2,0.00,45.33,0.00,500,0,0,0,0,0,0,0,0,0,
2019,12,18,W,G1,1,G1-1-L,L,7:57,20.6 ,32.5 ,7.96 ,9.37 ,103.9 ,62.00 ,0.01,0.15,0.04,0.048,,0.848 ,0.9333333333,0.333,0.167,24.500,9.000,0.053,0.19,18.5,21.2,22.2,11.9,89.8,7.21,24,8,4.00,50.67,0.00,9500,300,100,800,0,0,0,0,800,0,0
2019,12,,W,G1,2,G1-2-H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,8.00,62.67,0.00,5100,100,0,100,0,0,0,100,700,0,
2019,12,,W,G1,2,G1-2-M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,2.67,13.33,0.00,5800,800,0,100,0,0,0,100,9500,0,
2019,12,,W,G1,2,G1-2-L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,44,10,2.67,4.00,0.00,7300,1000,200,2800,400,0,0,0,3900,0,16
